,Offense_Count
0,985
1,14138
2,24
3,583
4,6
5,895
6,4517
7,1763
8,1043
9,257
10,20
11,1328
12,8
13,172
14,152
15,14
16,436
17,98
18,37
19,4
20,89
21,237
22,3
23,0
24,0
25,3
26,0
27,0
28,3588
29,1449
30,9
31,375
32,21
33,387
34,117
35,0
36,0
37,0
38,84
39,124
40,227
41,4434
42,27
43,1
44,4
45,888
46,449
47,2000
48,1049
49,12931
50,19
51,520
52,36
53,963
54,4554
55,1592
56,933
57,296
58,24
59,1269
60,16
61,175
62,49
63,23
64,323
65,76
66,76
67,0
68,97
69,144
70,0
71,0
72,0
73,0
74,0
75,0
76,3027
77,1126
78,6
79,381
80,26
81,500
82,61
83,0
84,0
85,0
86,83
87,157
88,214
89,4338
90,15
91,0
92,3
93,895
94,389
95,2001
96,1028
97,11968
98,19
99,492
100,0
101,801
102,4723
103,1643
104,963
105,305
106,25
107,1308
108,15
109,164
110,86
111,17
112,335
113,68
114,53
115,9
116,75
117,149
118,2
119,0
120,0
121,2
122,0
123,0
124,3405
125,1144
126,5
127,442
128,28
129,333
130,58
131,0
132,0
133,0
134,79
135,144
136,195
137,3753
138,24
139,0
140,1
141,866
142,351
143,2002
144,1242
145,13947
146,40
147,685
148,2
149,925
150,4937
151,2132
152,1203
153,340
154,77
155,1653
156,33
157,156
158,192
159,29
160,479
161,102
162,26
163,2
164,141
165,148
166,0
167,0
168,0
169,0
170,0
171,0
172,3476
173,1692
174,4
175,413
176,30
177,358
178,58
179,0
180,0
181,0
182,118
183,111
184,286
185,4216
186,26
187,2
188,9
189,1017
190,401
191,2003
192,1231
193,15259
194,15
195,538
196,1
197,934
198,4950
199,1755
200,914
201,115
202,142
203,1272
204,101
205,129
206,219
207,101
208,483
209,34
210,56
211,5
212,137
213,196
214,23
215,0
216,0
217,23
218,0
219,0
220,2980
221,1446
222,7
223,381
224,31
225,430
226,102
227,0
228,0
229,0
230,80
231,134
232,206
233,3839
234,33
235,0
236,16
237,872
238,356
239,2004
240,1482
241,14961
242,65
243,549
244,6
245,1040
246,4754
247,1885
248,892
249,112
250,219
251,1335
252,112
253,138
254,291
255,93
256,550
257,28
258,124
259,7
260,130
261,181
262,2
263,0
264,0
265,2
266,0
267,0
268,3265
269,1580
270,3
271,392
272,28
273,494
274,123
275,0
276,0
277,0
278,67
279,144
280,213
281,4036
282,29
283,6
284,2
285,981
286,397
287,2005
288,1392
289,15131
290,43
291,555
292,0
293,913
294,4334
295,1701
296,805
297,96
298,165
299,1177
