,State,Offense_Year,Offense_Type,Offense_Count
0,AK,2000,aggravated_assault,985
1,AK,2000,all_other_offenses,14138
2,AK,2000,arson,24
3,AK,2000,burglary,583
4,AK,2000,curfew,6
5,AK,2000,disorderly,895
6,AK,2000,driving,4517
7,AK,2000,drug_abuse_gt,1763
8,AK,2000,drug_poss_m,1043
9,AK,2000,drug_poss_opium,257
10,AK,2000,drug_poss_other,20
11,AK,2000,drug_poss_subtotal,1328
12,AK,2000,drug_poss_synthetic,8
13,AK,2000,drug_sales_m,172
14,AK,2000,drug_sales_opium,152
15,AK,2000,drug_sales_other,14
16,AK,2000,drug_sales_subtotal,436
17,AK,2000,drug_sales_synthetic,98
18,AK,2000,drunkness,37
19,AK,2000,embezzlement,4
20,AK,2000,forgery,89
21,AK,2000,fraud,237
22,AK,2000,g_all,3
23,AK,2000,g_b,0
24,AK,2000,g_n,0
25,AK,2000,g_t,3
26,AK,2000,ht_c_s_a,0
27,AK,2000,ht_i_s,0
28,AK,2000,larceny,3588
29,AK,2000,liquor,1449
30,AK,2000,manslaughter,9
31,AK,2000,mvt,375
32,AK,2000,murder,21
33,AK,2000,offense_family,387
34,AK,2000,prostitution,117
35,AK,2000,prostitution_a_p_p,0
36,AK,2000,prostitution_p,0
37,AK,2000,prostitution_p_p,0
38,AK,2000,rape,84
39,AK,2000,robbery,124
40,AK,2000,sex_offense,227
41,AK,2000,simple_assault,4434
42,AK,2000,stolen_property,27
43,AK,2000,suspicion,1
44,AK,2000,vagrancy,4
45,AK,2000,vandalism,888
46,AK,2000,weapons,449
47,AK,2000,data_year,2000
48,AK,2001,aggravated_assault,1049
49,AK,2001,all_other_offenses,12931
50,AK,2001,arson,19
51,AK,2001,burglary,520
52,AK,2001,curfew,36
53,AK,2001,disorderly,963
54,AK,2001,driving,4554
55,AK,2001,drug_abuse_gt,1592
56,AK,2001,drug_poss_m,933
57,AK,2001,drug_poss_opium,296
58,AK,2001,drug_poss_other,24
59,AK,2001,drug_poss_subtotal,1269
60,AK,2001,drug_poss_synthetic,16
61,AK,2001,drug_sales_m,175
62,AK,2001,drug_sales_opium,49
63,AK,2001,drug_sales_other,23
64,AK,2001,drug_sales_subtotal,323
65,AK,2001,drug_sales_synthetic,76
66,AK,2001,drunkness,76
67,AK,2001,embezzlement,0
68,AK,2001,forgery,97
69,AK,2001,fraud,144
70,AK,2001,g_all,0
71,AK,2001,g_b,0
72,AK,2001,g_n,0
73,AK,2001,g_t,0
74,AK,2001,ht_c_s_a,0
75,AK,2001,ht_i_s,0
76,AK,2001,larceny,3027
77,AK,2001,liquor,1126
78,AK,2001,manslaughter,6
79,AK,2001,mvt,381
80,AK,2001,murder,26
81,AK,2001,offense_family,500
82,AK,2001,prostitution,61
83,AK,2001,prostitution_a_p_p,0
84,AK,2001,prostitution_p,0
85,AK,2001,prostitution_p_p,0
86,AK,2001,rape,83
87,AK,2001,robbery,157
88,AK,2001,sex_offense,214
89,AK,2001,simple_assault,4338
90,AK,2001,stolen_property,15
91,AK,2001,suspicion,0
92,AK,2001,vagrancy,3
93,AK,2001,vandalism,895
94,AK,2001,weapons,389
95,AK,2001,data_year,2001
96,AK,2002,aggravated_assault,1028
97,AK,2002,all_other_offenses,11968
98,AK,2002,arson,19
99,AK,2002,burglary,492
100,AK,2002,curfew,0
101,AK,2002,disorderly,801
102,AK,2002,driving,4723
103,AK,2002,drug_abuse_gt,1643
104,AK,2002,drug_poss_m,963
105,AK,2002,drug_poss_opium,305
106,AK,2002,drug_poss_other,25
107,AK,2002,drug_poss_subtotal,1308
108,AK,2002,drug_poss_synthetic,15
109,AK,2002,drug_sales_m,164
110,AK,2002,drug_sales_opium,86
111,AK,2002,drug_sales_other,17
112,AK,2002,drug_sales_subtotal,335
113,AK,2002,drug_sales_synthetic,68
114,AK,2002,drunkness,53
115,AK,2002,embezzlement,9
116,AK,2002,forgery,75
117,AK,2002,fraud,149
118,AK,2002,g_all,2
119,AK,2002,g_b,0
120,AK,2002,g_n,0
121,AK,2002,g_t,2
122,AK,2002,ht_c_s_a,0
123,AK,2002,ht_i_s,0
124,AK,2002,larceny,3405
125,AK,2002,liquor,1144
126,AK,2002,manslaughter,5
127,AK,2002,mvt,442
128,AK,2002,murder,28
129,AK,2002,offense_family,333
130,AK,2002,prostitution,58
131,AK,2002,prostitution_a_p_p,0
132,AK,2002,prostitution_p,0
133,AK,2002,prostitution_p_p,0
134,AK,2002,rape,79
135,AK,2002,robbery,144
136,AK,2002,sex_offense,195
137,AK,2002,simple_assault,3753
138,AK,2002,stolen_property,24
139,AK,2002,suspicion,0
140,AK,2002,vagrancy,1
141,AK,2002,vandalism,866
142,AK,2002,weapons,351
143,AK,2002,data_year,2002
144,AK,2003,aggravated_assault,1242
145,AK,2003,all_other_offenses,13947
146,AK,2003,arson,40
147,AK,2003,burglary,685
148,AK,2003,curfew,2
149,AK,2003,disorderly,925
150,AK,2003,driving,4937
151,AK,2003,drug_abuse_gt,2132
152,AK,2003,drug_poss_m,1203
153,AK,2003,drug_poss_opium,340
154,AK,2003,drug_poss_other,77
155,AK,2003,drug_poss_subtotal,1653
156,AK,2003,drug_poss_synthetic,33
157,AK,2003,drug_sales_m,156
158,AK,2003,drug_sales_opium,192
159,AK,2003,drug_sales_other,29
160,AK,2003,drug_sales_subtotal,479
161,AK,2003,drug_sales_synthetic,102
162,AK,2003,drunkness,26
163,AK,2003,embezzlement,2
164,AK,2003,forgery,141
165,AK,2003,fraud,148
166,AK,2003,g_all,0
167,AK,2003,g_b,0
168,AK,2003,g_n,0
169,AK,2003,g_t,0
170,AK,2003,ht_c_s_a,0
171,AK,2003,ht_i_s,0
172,AK,2003,larceny,3476
173,AK,2003,liquor,1692
174,AK,2003,manslaughter,4
175,AK,2003,mvt,413
176,AK,2003,murder,30
177,AK,2003,offense_family,358
178,AK,2003,prostitution,58
179,AK,2003,prostitution_a_p_p,0
180,AK,2003,prostitution_p,0
181,AK,2003,prostitution_p_p,0
182,AK,2003,rape,118
183,AK,2003,robbery,111
184,AK,2003,sex_offense,286
185,AK,2003,simple_assault,4216
186,AK,2003,stolen_property,26
187,AK,2003,suspicion,2
188,AK,2003,vagrancy,9
189,AK,2003,vandalism,1017
190,AK,2003,weapons,401
191,AK,2003,data_year,2003
192,AK,2004,aggravated_assault,1231
193,AK,2004,all_other_offenses,15259
194,AK,2004,arson,15
195,AK,2004,burglary,538
196,AK,2004,curfew,1
