State,State_ABV,gunOwnership,Pop
Alaska,AK,0.617,735720
Arkansas,AR,0.579,3026412
Idaho,ID,0.569,1790182
West Virginia,WV,0.542,1791951
Wyoming,WY,0.538,572381
Montana,MT,0.523,1074532
New Mexico,NM,0.499,2096034
Alabama,AL,0.489,4898246
North Dakota,ND,0.479,760900
Hawaii,HI,0.451,1416589
Louisiana,LA,0.445,4652581
South Carolina,SC,0.444,5147111
Mississippi,MS,0.428,2987895
Kentucky,KY,0.424,4484047
Tennessee,TN,0.394,6833793
Nevada,NV,0.375,3087025
Minnesota,MN,0.367,5655925
Texas,TX,0.357,29087070
South Dakota,SD,0.35,892631
Wisconsin,WI,0.347,5832661
Colorado,CO,0.343,5770545
Iowa,IA,0.338,3167997
Indiana,IN,0.338,6718616
Florida,FL,0.325,21646155
Arizona,AZ,0.323,7275070
Kansas,KS,0.322,2910931
Utah,UT,0.319,3221610
Georgia,GA,0.316,10627767
Oklahoma,OK,0.312,3948950
Virginia,VA,0.293,8571946
Vermont,VT,0.288,627180
Michigan,MI,0.288,10020472
North Carolina,NC,0.287,10497741
Washington,WA,0.277,7666343
Missouri,MO,0.271,6147861
Pennsylvania,PA,0.271,12813969
Oregon,OR,0.266,4245901
Illinois,IL,0.262,12700381
Maine,ME,0.226,1342097
Massachusetts,MA,0.226,6939373
Maryland,MD,0.207,6062917
California,CA,0.201,39747267
Nebraska,NE,0.198,1940919
Ohio,OH,0.196,11718568
Connecticut,CT,0.166,3567871
New Hampshire,NH,0.144,1363852
New Jersey,NJ,0.113,8922547
New York,NY,0.103,19491339
Rhode Island,RI,0.058,1056738
Delaware,DE,0.052,975033
