Year,Pistols,Revolvers,Rifles,Shotguns,Misc_Firearms1,Total Firearms
1986,662973,761414,970507,641482,4558,3040934
1987,964561,722512,1007661,857949,6980,3559663
1988,1101011,754744,1144707,928070,35345,3963877
1989,1404753,628573,1407400,935541,42126,4418393
1990,1371427,470495,1211664,848948,57434,3959968
1991,1378252,456966,883482,828426,15980,3563106
1992,1669537,469413,1001833,1018204,16849,4175836
1993,2093362,562292,1173694,1144940,81349,5055637
1994,2004298,586450,1316607,1254926,10936,5173217
1995,1195284,527664,1411120,1173645,8629,4316342
1996,987528,498944,1424315,925732,17920,3854439
1997,1036077,370428,1251341,915978,19680,3593504
1998,960365,324390,1535690,868639,24506,3713590
1999,995446,335784,1569685,1106995,39837,4047747
2000,962901,318960,1583042,898442,30196,3793541
2001,626836,320143,1284554,679813,21309,2932655
2002,741514,347070,1515286,741325,21700,3366895
2003,811660,309364,1430324,726078,30978,3308404
2004,728511,294099,1325138,731769,19508,3099025
2005,803425,274205,1431372,709313,23179,3241494
2006,1021260,385069,1496505,714618,35872,3653324
2007,1219664,391334,1610923,645231,55461,3922613
2008,1609381,431753,1734536,630710,92564,4498944
2009,1868258,547195,2248851,752699,138815,5555818
2010,2258450,558927,1830556,743378,67929,5459240
2011,2598133,572857,2318088,862401,190407,6541886
2012,3487883,667357,3168206,949010,306154,8578610
2013,4441726,725282,3979570,1203072,495142,10844792
2014,3633454,744047,3379549,935411,358165,9050626
2015,3557199,885259,3691799,777273,447131,9358661
2016,4720075,856291,4239335,848617,833123,11497441
